dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.29310344827586204,0.292684±0.006627,0.2920344737989354,0.292364±0.007252,0.2920270589161998,0.292257±0.007062,0.2925781940054248,0.291739±0.007034,,,,
beijing,month,cat,0.48323754789272033,0.483285±0.007794,0.48181119427045666,0.481523±0.007143,0.48275159284272723,0.482168±0.007232,0.4822976203980749,0.482924±0.006882,,,,
beijing,day,cat,0.13266283524904215,0.132425±0.005092,0.13300734621936564,0.132361±0.005313,0.13846268304448792,0.138693±0.005449,0.13351504019949548,0.133669±0.005500,,,,
beijing,hour,cat,0.07183908045977011,0.071594±0.004220,0.07123702921004844,0.071056±0.003592,0.07141818695356683,0.071416±0.004230,0.07189103929879087,0.071718±0.003879,,,,
beijing,pm2.5,num,,,,,,,,,0.7620341557462416,0.761776±0.021700,0.44939324448579776,0.448778±0.009956
beijing,DEWP,num,,,,,,,,,0.17529772670311838,0.175410±0.004741,0.11397644124959265,0.113912±0.001945
beijing,TEMP,num,,,,,,,,,0.19301279539907895,0.193140±0.003422,0.1355068861674962,0.135493±0.002161
beijing,PRES,num,,,,,,,,,0.2985686297236514,0.298552±0.007537,0.17983810630055003,0.179879±0.003558
beijing,cbwd,cat,0.5256226053639846,0.525607±0.007994,0.46847663425048036,0.468313±0.007678,0.4705484525531563,0.469576±0.007162,0.46769463551827817,0.466945±0.007950,,,,
beijing,Iws,num,,,,,,,,,0.7470223819436332,0.748222±0.040920,0.29377761582256884,0.294080±0.010535
beijing,Is,num,,,,,,,,,0.6950824835561467,0.681996±0.136113,0.04925047614021497,0.048467±0.010649
beijing,Ir,num,,,,,,,,,0.8342526384529483,0.833828±0.063676,0.14631476502771373,0.146773±0.012822
